NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	IMAGES	TEXT	
011	CILIOPHORA	PROTOZOA	ALVEOLATA	CILIOPHORA							Ciliophora is a monophyletic taxon of animated and engaging cell-organisms. Most seem like diminutive animals because of their sophisticated cellular organelles and the complexity of their behavior. Many animal tissues and organs, such as muscle and gut, have analogs in the cellular anatomy of ciliates. The 8000+ described species are widely distributed in fresh water, the sea, and in the water film around soil particles. All ciliates are heterotrophs, but about one-third of them are ecto or endocommensals or parasites.	
012	KARYORELICTEA	PROTOZOA	ALVEOLATA	CILIOPHORA	KARYORELICTEA						Freshwater Loxodes and marine interstitial Geleia, Remanella, and Tracheloraphis, ail highly contractile. Macronuclei and micronuclei both diploid; somatic dikinetids.	
012	SPIROTRICHEA	PROTOZOA	ALVEOLATA	CILIOPHORA	SPIROTRICHEA						Ciliates with oral membranelles (polykinetids) that wind clockwise to the cytostome; somatic dikinetids or polykinetids. Includes HeterotrichiasC, the contractile Blepharisma, Folliculina, Spirostomum, Stentor; OHgotrichiasC, the tintinnids, Halteria with somatic cirri; Stichotrichias C, with ventral cirri, such as the dorsoventrally flattened Stylonychia (Fig. 3-18B); Hypotrichias C, which are flattened with cirri on the ventral surface and have postciliary microtubule (MT) ribbons, such as bacterivorous Aspidisca and Euplotes.	
013	LITOSTOMATEA	PROTOZOA	ALVEOLATA	CILIOPHORA	LITOSTOMATEA						Somatic monokinetids; MTs from circumcytostomal dikinetids form basketlike cytopharynx and have a transverse ribbon of MTs from ciliary basal bodies and laterally directed kinetodesmal fibers. Includes HaptoriasC, mostly predators with lateral, ventral, or posterior cytostome and toxicysts, Didinium, Dileptus, Mesodinium (with endosymbiotic dinoflagellates); and TrichostomatiasC, mutualists in the gut of ruminants that assist in breakdown of cellulose, Balantidium and Entodinium.	
014	PROSTOMATEA	PROTOZOA	ALVEOLATA	CILIOPHORA	PROSTOMATEA						Oral region similar to that of litostomates, but some polykinetids are also present; have somatic monokinetids with radially arranged MT ribbons and a cytostome at the anterior end of the cell; toxicysts are common. Marine and fresh water Coleps, Prorodon.	
015	PHYLLOPHARYNGEA	PROTOZOA	ALVEOLATA	CILIOPHORA	PHYLLOPHARYNGEA						Leaflike ribbons of MTs surrounded by longitudinal bundles of MTs that form a basket-shaped cytopharynx (cyrtos); somatic monokinetids. PhyllopharyngiasC, of which Chilodonella is flattened, ciliated ventrally, and found in sewage; ChonotrichiasG, which are sessile, noncili- ated filter feeders with a spiral oral end that attach to crus- taceans; SuctoriasC, which are sessile, cilia-free predators with prey-catching tentacles, resemble miniature sundews and include Allantosoma (in horse colon), Ephelota, Heliophrya, Tokophrya. Marine and fresh water.	
016	NASSOPHOREA	PROTOZOA	ALVEOLATA	CILIOPHORA	NASSOPHOREA						Transverse MT ribbons tangential to the basal bodies; well-developed kinetodesma; MT bundles form a complex, basket-shaped cytopharynx (nasse); somatic mono- or dikinetids. Peniculida0 has an oral apparatus that isanelasticslitandthreeoralmembranelles(peniculus)on its left side and an undulating membrane on the right; a nasse is absent; includes the slipper ciliate, Paramecium.	
017	OLIGOHYMENOPHOREA	PROTOZOA	ALVEOLATA	CILIOPHORA	OLIGOHYMENOPHOREA						A few oral polykinetids, usually three, on left side of the cytostome; somatic mono kinetid swith MT ribbons that radiate from the basal bodies. Hymenos- tomatiasC, oral apparatus like that of Nassophorea. The best- known ciliate is the free-living Tetrahymena; Ichthyophthirius, the cause of “ich” disease of freshwater fishes; Pleuronema, Uronema. PeritrichiasC, a ciliary ring on its oral rim that winds helically counterclockwise to the cytostome and then splits into three membranelles; somatic cilia are reduced; often have contractile stalks (or bodies) and are mosdy sessile and attached, but some can detach and swim: Carchesium, Epistylis, Trichodina, Urceolaria, Varticella.	
018	COLPODEA	PROTOZOA	ALVEOLATA	CILIOPHORA	COLPODEA						Kidney-shaped cells with spiral kineties and somatic dikinetids: Bursaria, Colpoda.	
019	APICOMPLEXA	PROTOZOA	ALVEOLATA	APICOMPLEXA							The some 5000 species of apicomplexans are widespread and common parasites of such animals as worms, echinoderms, insects, and vertebrates. Depending on the species, they may be extra- or intracellular parasites or both at different stages of the life cycle. Apicomplex ans also are responsible for malaria, the number-one parasitic disease of humankind, as well as similar debilitating diseases of livestock. Apicomplexans are so named because motile infective stages (sporozoites, merozoites) bear an anterior apical complex that attaches to or penetrates into host cells. A fully developed apical complex consists of an anterior conoid, one or two polar rings, 2 to 20 flask-shaped glandular structures (rhoptries),and numerous membranous Golgi-derivedtubules (micronemes). The conoid is open at both ends and encircled by the polar rings, which link to subpellicular microtubules. The micronemes contain enzymes presumably used for host-cell penetration, but the functions of the other components are unclear. Apicomplexans lack cilia, but fla- gella occur on their microgametes. Pseudopodia also are absent. Infective stages move by gliding, which may result from microscopic undulations of the pellicle. One or more feeding pores, called micropores, are located on the side of the body. The apicomplexan pellicle consists of the outer cell membrane and two additional membranes below it. The two inner membranes are actually the outer and inner walls of a flattened alveolus, which completely encloses the subpellicular cytoplasm except for breaks anteriorly (api- cal complex), laterally (micropores), and posteriorly (site of exocytosis).	
020	GREGARINEA	PROTOZOA	ALVEOLATA	APICOMPLEXA	GREGARINEA						Life cycle with one host; multiple fission by both male and female gamonts; constriction separates gamont body into anterior protomerite and posterior deutomerite, with epimerite (such as hooks) at tip of protomerite; gamontcellsunite(syzygy)before encystment and move by gliding; most stages are extracellular parasites ofechinoderms, molluscs, annelids, and especially arthro- pods. Species identification based on epimerite structure. Gregarina, Monocystis.	
021	COCCIDIA	PROTOZOA	ALVEOLATA	APICOMPLEXA	COCCIDIA						Each macrogamont forms but one macrogamete; gamonts encyst; most species are intracellular parasites of invertebrates and vertebrates in one or two hosts. Cryp- tosporidium, Eimeria (in poultry), Haemogregarina, Toxoplasma (causes toxoplasmosis in cats and sometimes in humans).	
022	HEMATOZOEA	PROTOZOA	ALVEOLATA	APICOMPLEXA	HEMATOZOEA						Blood parasites that alternate between vertebrate(intermediate) and arthropod (final) hosts; sporozoites infect vertebrates and motile micro- and macrogametes are transferred to arthropods; gamonts do not pair or encyst. Haemoproteus, Leucocytozoon (causes turkey malaria), Plasmod- ium (causesmalaria).	
023	AMEBOID PROTOZOA	PROTOZOA	AMEBOID PROTOZOA	AMEBAS							Amebas (or amebae) may be naked or enclosed in a test. The naked amebas, which include Amoeba, live in the sea, in fresh water, and in the water film around soil particles. The shape, although constantly changing, is characteristic in different species. Some giants, such as Pelomyxa palustris or Chaoscarolinense, can be 5mm in length and are multi nucleated cells. The cytoplasm in amebas is divided into a stiff, clear, external ectoplasm and a more fluid internal endoplasm (Fig. 3-28A). The pseudopodia adopt one of two general forms. Lobopodia, which are typical of many amebas, are wide and rounded with blunt tips. They are commonly tubular and composed of both ectoplasm and endoplasm. Filopodia, which occur in many small amebas, are slender, clear, and sometimes branched, but the branches do not inteijoin extensively to form nets.	
024	CARYOBLASTA	PROTOZOA	AMEBOID PROTOZOA	AMEBAS	CARYOBLASTA						Cell has one to several non motile flagella, each with a basal body from which MTs radiate and surround a nucleus; mitochondria and Golgi bodies are absent, respiratory organelles are endosymbiotic bacteria. Pelomyxapalustris is 1 to 5 mm in diameter with hundreds of nuclei and several flagella; Mastigamoeba and Mastigel'la have one flagellum and one nucleus. In microoxic freshwater sediments. Some systematists regard caryoblasts as premitochondrial eukaryotes, and thus among the most primitive of living protists.	
025	HETEROLOBOSA	PROTOZOA	AMEBOID PROTOZOA	AMEBAS	HETEROLOBOSA						Cells have an inducible flagellated stage with two to four functional flagella; lobopodia seem to erupt during ameboid movement. Encystment occurs under adverse conditions. Freshwater and marine sediments. Naegleria (two flagella; cause of primary amebic meningoencephalitis), Tetramitus (fourflagella). Contemporary systematists include this taxon with the flagellates.	
026	AMOEBOZOA	PROTOZOA	AMEBOID PROTOZOA	AMEBAS	AMOEBOZOA						Polyphyletictaxon: cells with pseudopodia that lack MTs. MTs are associated only with the mitotic spindle; fla- gella and centrioles are absent; freshwater, marine, terrestrial, and symbiotic habitats. “Lobosea,” with lobopodia, includes the naked (atestate) amebas—Acanthamoeba, Amoeba, Chaos, Entamoeba, Vannella—and the testate amebas—Arcella, Difflu- gia. “Filosea,” with rapidly forming filopodia, includes testate and atestate species: Euglypha, Gromia, Vampyrella.	
027	FORAMINIFEREA	PROTOZOA	AMEBOID PROTOZOA	FORAMINIFEREA							The large taxon Foraminiferea (forams or foraminifers) is primarily marine. The countless filiform pseudopodia, called reticulopodia, actively branch and interconnect (anastomose) to form a complex threadlike mesh, usually known as a reticulopodial network. Each reticulopodium has an axis of microtubules that shuttles vesicles bidirectionally to and from the cell body. The abundant vesicles confer a granular appearance on the reticulopods. Locomotion in creeping forams, such as AUogromia, results from extension of the reticulopodial network, anchorage on the substratum, and retraction of the net, which pulls the cell body forward. Movement of the reticulopodial net involves lengthening and shortening of the axial microtubules.	
028	ALLOGROMIINA	PROTOZOA	AMEBOID PROTOZOA	FORAMINIFEREA	ALLOGROMIINA						Organic test is flexible and sometimes has attached foreign matter. India, Myxotheca, Nemogullmia.	
029	TEXTURALIINA	PROTOZOA	AMEBOID PROTOZOA	FORAMINIFEREA	TEXTURALIINA						Organic test made rigid by adding foreign particles. Allogromia, Ammodiscus, Astrorhiza, Clavulina, Textularia.	
030	MILIOLINA	PROTOZOA	AMEBOID PROTOZOA	FORAMINIFEREA	MILIOLINA						Calcareous test resembles porcelain. Amphisorus (mermaid’s penny), Pyrgo (ooze former), Quinqueloculina, Sorites.	
031	ROTALIINA	PROTOZOA	AMEBOID PROTOZOA	FORAMINIFEREA	ROTALIINA						Calcareous test is glassy (hyaline) and has pores. Bulimina, Discorhis, Globigerinoides (planktonic), Homotrema, Lagena, Marginulina, Rotaliella.	
032	ACTINOPODA	PROTOZOA	AMEBOID PROTOZOA	ACTINOPODA							The actinopods are primarily spherical, planktonic cells with long, stiff, needlelike pseudopodia called axopodia that radiate outward like spikes on a mace. The axis of each axopodium contains a supportive axial rod that is a bundle of microtubules originating in the cell body. Bidirectional shuttling of vesicles occurs in axopodia, as in reticulopodia, and they can shorten rapidly after contacting and adhering to prey. The axopods are used for prey capture, flotation, locomotion, and attachment to surfaces.	
033	RADIOLARIA	PROTOZOA	AMEBOID PROTOZOA	RADIOLARIA							With a siliceous test that looks like a crystal starburst, radiolarians are among the most elegant protozoans. Entirely marine and primarily planktonic, radiolarians are relatively large protozoa: A few solitary species are millimetres in diameter, and some colonial species attain a length of up to 20 cm (Collozoum). The radiolarian cell is usually spherical and divided distinctly into medulla and cortex by a perforated organic test. Highly specialized perforations (fusules) in the test allow for the passage of the axopodia as well as vacuolated filopodia and reticulopodia that form the cortex. The cortex, sometimes highly vacoluated, functions in flotation, prey capture, and intracelular digestion as well as often bearing symbiotic dinoflagellates (zooxanthellae) or other photosynthetic protists. The medulla, which is often vacuolated peripherally, contains one to many nuclei and nutritional reserves, such as lipid drops (also used for buoyancy).	
034	POLYCYSTINEA	PROTOZOA	AMEBOID PROTOZOA	RADIOLARIA		POLYCYSTINEA					Taxon contains the majority of familiar radiolarians. All have perforated siliceous skeletons and are solitary and colonial species, 30pm to 2mm in size. Collozoum, Eucoronis, Thallasicola.	
035	PHAEODAREA	PROTOZOA	AMEBOID PROTOZOA	RADIOLARIA		PHAEODAREA					Taxon of deep-sea radiolarians having a siliceous test with hollow spines and incorporated organic matter. Central capsule has three openings, one oral and two for axopods. Yellow-brown pigment mass (phaeodium) near the oral opening. Astracantha, Coelodendrum, Phaeodina.	
036	ACANTHAREA	PROTOZOA	AMEBOID PROTOZOA	ACANTHAREA							Acanthareans are planktonic marine actinopods that superficially resemble radiolarians. The cell is a radially symmetric sphere from which project slender axopodia and 10 to 20 stout skeletal spines. The intracellular spines unite in the center of the medulla, radiate outward, and project beyond the periphery of the cell. Myonemes attach to the spine bases and, on contraction, expand the cortex to the tips of the spines. Acantharean spines are composed of strontium sulfate and not the silica of radiolarians. Strontium sulfate is soluble in seawater and, after cell death, the skeleton soon dis- solves and leaves no trace either as a bottom ooze or in the fossil record. The cell is divided by a perforated organic test into a medulla and vacuolated cortex. The cortex is overlaid with a flexible extracellular cuticle. The medulla contains several nuclei and, often, zooxanthellae.	
037	HELIOZOA	PROTOZOA	AMEBOID PROTOZOA	HELIOZOA							The spherical actinopods called heliozoans (sun animalcules) occur in the sea, in still bodies of fresh water, and in mosses. In aquatic habitats, they may be floating or, more commonly, located in bottom debris. Some benthic species are stalked.Numerous slender axopodia radiate stiffly from the surface of the cell, but can shorten or even “melt” as the axial microtubules depolymerize. Some heliozoan species have long, delicate filopodia in addition to the axopodia	
038	DESMOTHORACIDA	PROTOZOA	AMEBOID PROTOZOA	HELIOZOA		DESMOTHORACIDA					Sessile, mostly stalked species; irregularly arranged axopod MTs; filopodia are present. Clathrulina, Hedriocystis, Orbulinellci.	
039	CILIOPHYIDA	PROTOZOA	AMEBOID PROTOZOA	HELIOZOA		CILIOPHYIDA					Similar in form to actinophiyids, but adult bears a single flagellum with pinnate mastigonemes; axopods with few MTs. Actinomonas, Ciliophrys, Pteridomonas.	
040	TAXOPODIDA	PROTOZOA	AMEBOID PROTOZOA	HELIOZOA		TAXOPODIDA					Bilaterally symmetric with stout siliceous spines in rosettes; axopodal MTs in a hexagonal pattern; marine. Sticholonche.	
041	CENTROHELIDA	PROTOZOA	AMEBOID PROTOZOA	HELIOZOA		CENTROHELIDA					Numerous slender and long axopods arise from a central point (centroplast); axopods bear extru- somes used in prey capture; often have surface covering of extracellular siliceous scales or spinelets; axopod MTs in hexagonal or triangular arrays. Acanthocystis, Gymnosphaera, Hedraiophrys, Heterophrys.	
042	SYMPLASMA	PORIFERA	SYMPLASMA								Glass sponges; have syncytial tissues; spicules are siliceous triaxonal hexactines that form intracellularly (sclerocytes are cellular, not syncytial). Many species have elongate bundle (“root”) of monaxons that anchor the sponge in mud bottoms; trichimella larva resembles modified parenchymella. Marine; approximately 400 extant species. EuplecteUa, Dactylocalyx, Hyalonema, Monoraphis, Rhabdocalyptus.	
043	CELLULARIA	PORIFERA	CELLULARIA								Porifera with cellular tissues.	
044	DEMOSPONGIAE	PORIFERA	CELLULARIA	DEMOSPONGIAE							Cellularia of leuconoid design; 80 to 90% of all described species. Skeleton of siliceous spicules, spongin, spicules and spongin, or mesohyl only; fused calcareous basal exoskeleton in some relict species. Megascleres: monaxons, triaxons, tetraxons; all spicules secreted intracellularly; mesohyl well developed; choanocytes typically smaller than pinacocytes and archeocytes. Marine and fresh water. (Currently, there is lack of consensus over the classification of subtaxa of Demospongiae).	
045	HOMOSCLEROMORPHA	PORIFERA	CELLULARIA	DEMOSPONGIAE	HOMOSCLEROMORPHA						Demospongiae lacking distinction between mega- and microscleres. Spicule types not localized in body; siliceous spicules are di-, tri-, and tetractines; spongin mostly absent. Larviparous with coeloblastula larva. Octavella and Oscarella have only mesohylar skeleton, lack spongin and spicules. Plakina (syconoid).	
046	TETRACTIONOMORPHA	PORIFERA	CELLULARIA	DEMOSPONGIAE	TETRACTIONOMORPHA						Demospongiae with tetraxons, aster- ose microscleres, and mostly without spongin. Oviparous. Acanthochaetes, Ceratoporella, Merlia, all “scelerosponges” with a basal calcareous exoskeleton as well as siliceous spicules; Chondrilla nucula (chicken-liver sponge of West Indies); Cliona spp. (boring sponges); Geodia; Suberites ficus (fig sponge); Tethya actinia (tangerina sponge); Tetilla.	
047	CERACTINOMORPHA	PORIFERA	CELLULARIA	DEMOSPONGIAE	CERACTINOMORPHA						Demospongiae with distinct mega- and mi- croscleres, if microscleres are present; spongin is often species. CalcineasC: Calcarea with a choanocytic flagellum not in close association with the nucleus; nucleus in base of cell; triaxons have equiangular rays of equal length. Coeloblastula larva. Clathrina (asconoid) forms tubular network; Murray well developed and several taxa (“keratosa”) have spongin only; spicule types localized to specific tissues or regions.	
048	CALCAREA	PORIFERA	CELLULARIA	CALCAREA							Cellularia including species of asconoid, syconoid, and leu- conoid design; spicules are calcite, mostly unfused triaxons, tetraxons and monaxons; each spicule formed extracellularly by more than one sclerocyte. Mesohyl is thin; choanocytes relatively large, same size as pinacocytes and archeocytes. Larva a hollow blastula. Marine; 500 extant species.	
049	CALCINEA	PORIFERA	CELLULARIA	CALCAREA	CALCINEA						Calcarea with a choanocytic flagellum not in close association with the nucleus; nucleus in base of cell; triaxons have equiangular rays of equal length. Coeloblastula larva. Clathrina (asconoid) forms tubular network; Murrayona has a reticulate rigid skeleton of fused calcareous bodies (sclerodermites).	
050	CALCARONEA	PORIFERA	CELLULARIA	CALCAREA	CALCARONEA						Calcarea with a choanocyte flagellum close to the nucleus; nucleus is apical in cell; triaxons are inequiangular, one ray longer than other two. Amphiblastula larva. Grantia; Leucandra (leuconoid); Leucosolenia (asconoid), single tubes or tube cluster from a stolon, among algae; Minchinella, rigid skeleton of fused spicules and cement; Petrobiona, skeleton is a solid calcareous mass; Sycon or Scypha (syconoid), cylindrical to nearly spherical body, common under rocks.	
051	ANTHOZOA	CNIDARIA	ANTHOZOA								Anthozoa, or “flower animals,” includes the exclusively marine sea anemones, corals, sea fans, sea pens, and sea pansies. In their stunningly wide range of forms and colors, anthozoans create and accent coral-reef seascapes and tide pools with splashes of emerald, ruby, and amethyst. Anthozoa is the largest cnidarian taxon, containing over 6000 solitary and colonial species. Anthozoans are polyps only, and a medusa stage is absent. Thus the polyp is responsible for both sexual and, when present, asexual reproduction. As compared with the polyps of other cnidarian classes, anthozoans are large polyps that range in diameter from approximately 0.5cm to 1 m. Anthozoan body volume is variable because most have inflatable and retractile polyps. Anthozoan mesoglea contains amebocytes and is thus a true connective tissue. Anthozoa is the only cnidarian taxon that has all three types of cnidae — nematocysts, spirocysts, and ptychocysts.	
052	ZOANTHARIA	CNIDARIA	ANTHOZOA	ZOANTHARIA							Zoantharia includes approximately 4000 species of sea anemones, stony corals, coral anemones, mat anemones, and black or thorny corals. Zoantharian symmetry usually is hexamerous, with the septa occurring in multiples of six. Septa, which maybe complete or incomplete, typically are not single, but instead are closely set doubles called pairs. Only Antipatharia (black corals) and Ceriantharia (tube anemones) have single septa. A juvenile polyp usually has six pairs of septa and 12 tentacles, 1 tentacle extending from each interseptal space. As the polyp increases in size, a second round of six paired septa may be added along with an additional 12 tentacles. Two types of cnidaea represent, nemato cysts (six types) and spirocysts, the latter being unique to Zoantharia. The gonads form a longitudinal band behind the septal filament of each fertile septum. Zoantharians are represented by colonial and solitary species.	
053	ACTINARIA	CNIDARIA	ANTHOZOA	ZOANTHARIA		ACTINARIA					Sea anemones are generally large, solitary polyps. Most range from 1.5 to 10 cm in length and from 1 to 5 cm in diameter, but Tealia columbiana on the North Pacific coast of the United States and Stichodactyla mertensii and Heteractis magnified on the Great Barrier Reef of Australia may exceed a diameter of 1 m at the oral end. The height record of 1 m is held by Metridium farcimen of the Pacific Northwest coast of the United States. Sea anemones are often brightly colored white, green, blue, orange, red, or an entire palette of colors.	
053	SCELERACTINA	CNIDARIA	ANTHOZOA	ZOANTHARIA		SCELERACTINA					Closely related to sea anemones (Actiniaria) are the stony, or scleractinian, corals (also called madreporarian corals), which constitute the largest taxon of anthozoans with approximately 3600 species. In contrast to anemones, stony corals produce a calcium carbonate exoskeleton. Some corals, such as the Indo-Pacific reef-inhabiting Fungia and some deep-sea species, are solitary and have polyps as large as 50 cm in diameter, but the majority are colonial, with small polyps averaging 1 to 3 mm in diameter.	
054	ZOANTHIDEA	CNIDARIA	ANTHOZOA	ZOANTHARIA		ZOANTHIDEA					200 largely tropical and common reef- inhabiting species; do not secrete calcium carbonate, rely instead on periderm, hydrostat, mesoglea, sometimes embedded foreign matter for skeletal support, protection.	
055	CORALLIMORPHARIA	CNIDARIA	ANTHOZOA	ZOANTHARIA		CORALLIMORPHARIA					Coral anemones; 50 species, all solitary; lack calcareous exoskeleton; most are broad, squat polyps, often larger than dinner plates (up to 1m diameter); on coral reefs; expanded oral disc, with many short tentacles or no tentacles; tentacles usually house zooxanthellae, but polyps also feed on large prey such as fish, sea urchins; prey enveloped by muscular oral disc, similar to prey capture by Venus’s flytrap.	
056	ANTIPATHARIA	CNIDARIA	ANTHOZOA	ZOANTHARIA		ANTIPATHARIA					Feed by casting plankton-trapping mucous strings, reeled in by cilia. Collected commercially for black skeleton, pieces polished and worn as jewelry. Antipathes, Dendrobrachia, Schizopathes.	
057	CERIANTHARIA	CNIDARIA	ANTHOZOA	ZOANTHARIA		CERIANTHARIA					All septa complete, unpaired, lack retractor muscles, thus cerianthids cannot invaginate oral disc and tentacles into the column for protection; single siphonoglyph and corresponding hyposulculus. Cerianthus, Ceriantheopsis, Pachycerianthus.	
058	ALCYONARIA	CNIDARIA	ANTHOZOA	ALCYONARIA							The exclusively marine and mostly colonial Alcyonaria (or Octocorallia) includes the colorful sea plumes, fans, pens and pansies, as well as organ-pipe coral, precious red coral, blue coral, and soft corals. Of the 2000+ species, most are associated with the coral reef community, but alcyonarians also are commonly encountered in shallow-water areas of the oceans worldwide and even in the deep sea.	
059	STOLONIFERA	CNIDARIA	ANTHOZOA	ALCYONARIA		STOLONIFERA					Stolonate or, despite the taxon name, coenosarcal. Cornularia cornucopae: stolonate; mesoglea thin, lacks spicules; stolon and polyp bases enclosed in periderm.	
060	HELIOPORACEA	CNIDARIA	ANTHOZOA	ALCYONARIA		HELIOPORACEA					Heliopora coerulea: blue coral (Indo-Pacific), the sole reef-building alcyonarian; zooxanthellate.	
061	TELESTACEA	CNIDARIA	ANTHOZOA	ALCYONARIA		TELESTACEA					Mostly species of Telesto: small upright branching colonies of polyps that arise’ from a coenosarc; main stem and branches are elongate axial polyps with short, laterally budded zooids.	
062	ALCYONACEA	CNIDARIA	ANTHOZOA	ALCYONARIA		ALCYONACEA					Soft, leather, or mushroom corals; high diversity on Indo-Pacific and Red Sea coral reefs, but some (for example, Alcyonium, Gersemia) intemperate waters; with or without zooxanthellae.	
063	SCLERAXONIA	CNIDARIA	ANTHOZOA	ALCYONARIA		SCLERAXONIA					Includes precious red coral, Coralliumrubrum (Mediterranean Sea, Sea of Japan), and other fruticose species with lateral anthocodia on coenosarcal stems and branches, each supported by a skeletal axis; axis not enclosed in or secreted by its own specialized epithelium.	
064	HOLAXONIA	CNIDARIA	ANTHOZOA	ALCYONARIA		HOLAXONIA					Large, plantlike, often colorful sea plumes, sea fans, sea whips that sway gracefully in currents on coral reefs and elsewhere.	
065	PENNATULACEA	CNIDARIA	ANTHOZOA	ALCYONARIA		PENNATULACEA					Sea feathers, sea pens, and sea pansies; polymorphic colonies, often bilaterally symmetric, anchor in soft bottoms of sand or mud.	
