NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	LEVEL	LEGENDA
011	SPIROTRICHEA	PROTOZOA	ALVEOLATA	CILIOPHORA	SPIROTRICHEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Ciliates with oral membranelles (polykinetids) that wind clockwise to the cytostome; somatic dikinetids or polykinetids. Includes HeterotrichiasC, the contractile Blepharisma, Folliculina, Spirostomum, Stentor; OHgotrichiasC, the tintinnids, Halteria with somatic cirri; Stichotrichias C, with ventral cirri, such as the dorsoventrally flattened Stylonychia; Hypotrichias C, which are flattened with cirri on the ventral surface and have postciliary microtubule (MT) ribbons, such as bacterivorous Aspidisca and Euplotes. 
012	LITOSTOMATEA	PROTOZOA	ALVEOLATA	CILIOPHORA	LITOSTOMATEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Somatic monokinetids; MTs from circumcytostomal dikinetids form basketlike cytopharynx and have a transverse ribbon of MTs from ciliary basal bodies and laterally directed kinetodesmal fibers. Includes HaptoriasC, mostly predators with lateral, ventral, or posterior cytostome and toxicysts, Didinium, Dileptus, Mesodinium (with endosymbiotic dinoflagellates); and TrichostomatiasC, mutualists in the gut of ruminants that assist in breakdown of cellulose, Balantidium and Entodinium. 
013	PROSTOMATEA	PROTOZOA	ALVEOLATA	CILIOPHORA	PROSTOMATEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Oral region similar to that of litostomates, but some polykinetids are also present; have somatic monokinetids with radially arranged MT ribbons and a cytostome at the anterior end of the cell; toxicysts are common. Marine and fresh water Coleps, Prorodon.  
014	PHYLLOPHARYNGEA	PROTOZOA	ALVEOLATA	CILIOPHORA	PHYLLOPHARYNGEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Leaflike ribbons of MTs surrounded by longitudinal bundles of MTs that form a basket-shaped cytopharynx (cyrtos); somatic monokinetids. PhyllopharyngiasC, of which Chilodonella is flattened, ciliated ventrally, and found in sewage; ChonotrichiasG, which are sessile, noncili- ated filter feeders with a spiral oral end that attach to crus- taceans; SuctoriasC, which are sessile, cilia-free predators with prey-catching tentacles, resemble miniature sundews and include Allantosoma (in horse colon), Ephelota, Heliophrya, Tokophrya. Marine and fresh water.
015	NASSOPHOREA	PROTOZOA	ALVEOLATA	CILIOPHORA	NASSOPHOREA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Transverse MT ribbons tangential to the basal bodies; well-developed kinetodesma; MT bundles form a complex, basket-shaped cytopharynx (nasse); somatic mono- or dikinetids. Peniculida has an oral apparatus that is an elastics lit and three oral membranelles (peniculus) on its left side and an undulating membrane on the right; a nasse is absent; includes the slipper ciliate, Paramecium. 
016	OLIGOHYMENOPHOREA	PROTOZOA	ALVEOLATA	CILIOPHORA	OLIGOHYMENOPHOREA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	A few oral polykinetids, usually three, on left side of the cytostome; somatic mono kinetid swith MT ribbons that radiate from the basal bodies. Hymenos- tomatiasC, oral apparatus like that of Nassophorea. The best- known ciliate is the free-living Tetrahymena; Ichthyophthirius, the cause of “ich” disease of freshwater fishes; Pleuronema, Uronema. PeritrichiasC, a ciliary ring on its oral rim that winds helically counterclockwise to the cytostome and then splits into three membranelles; somatic cilia are reduced; often have contractile stalks (or bodies) and are mosdy sessile and attached, but some can detach and swim: Carchesium, Epistylis, Trichodina, Urceolaria, Varticella. 
017	COLPODEA	PROTOZOA	ALVEOLATA	CILIOPHORA	COLPODEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Kidney-shaped cells with spiral kineties and somatic dikinetids: Bursaria, Colpoda.
018	GREGARINEA	PROTOZOA	ALVEOLATA	APICOMPLEXA	GREGARINEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Life cycle with one host; multiple fission by both male and female gamonts; constriction separates gamont body into anterior protomerite and posterior deutomerite, with epimerite (such as hooks) at tip of protomerite; gamontcellsunite(syzygy)before encystment and move by gliding; most stages are extracellular parasites of echinoderms, molluscs, annelids, and especially arthro- pods. Species identification based on epimerite structure. Gregarina, Monocystis.
019	COCCIDIA	PROTOZOA	ALVEOLATA	APICOMPLEXA	COCCIDIA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Each macrogamont forms but one macrogamete; gamonts encyst; most species are intracellular parasites of invertebrates and vertebrates in one or two hosts. Cryp- tosporidium, Eimeria (in poultry), Haemogregarina, Toxoplasma (causes toxoplasmosis in cats and sometimes in humans).
020	HEMATOZOEA	PROTOZOA	ALVEOLATA	APICOMPLEXA	HEMATOZOEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Blood parasites that alternate between vertebrate(intermediate) and arthropod (final) hosts; sporozoites infect vertebrates and motile micro- and macrogametes are transferred to arthropods; gamonts do not pair or encyst. Haemoproteus, Leucocytozoon (causes turkey malaria), Plasmod- ium (causesmalaria). 
021	CARYOBLASTA	PROTOZOA	CARYOBLASTA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	PHYLUM	Cell has one to several non motile flagella, each with a basal body from which MTs radiate and surround a nucleus; mitochondria and Golgi bodies are absent, respiratory organelles are endosymbiotic bacteria. Pelomyxapalustris is 1 to 5 mm in diameter with hundreds of nuclei and several flagella; Mastigamoeba and Mastigel'la have one flagellum and one nucleus. In microoxic freshwater sediments. Some systematists regard caryoblasts as premitochondrial eukaryotes, and thus among the most primitive of living protists.
022	HETEROLOBOSA	PROTOZOA	HETEROLOBOSA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	PHYLUM	Cells have an inducible flagellated stage with two to four functional flagella; lobopodia seem to erupt during ameboid movement. Encystment occurs under adverse conditions. Freshwater and marine sediments. Naegleria (two flagella; cause of primary amebic meningoencephalitis), Tetramitus (fourflagella). Contemporary systematists include this taxon with the flagellates. 
023	AMOEBOZOA	PROTOZOA	AMOEBOZOA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	PHYLUM	Polyphyletictaxon: cells with pseudopodia that lack MTs. MTs are associated only with the mitotic spindle; fla- gella and centrioles are absent; freshwater, marine, terrestrial, and symbiotic habitats. “Lobosea,” with lobopodia, includes the naked (atestate) amebas—Acanthamoeba, Amoeba, Chaos, Entamoeba, Vannella—and the testate amebas—Arcella, Difflu- gia. “Filosea,” with rapidly forming filopodia, includes testate and atestate species: Euglypha, Gromia, Vampyrella. 
024	ALLOGROMIINA	PROTOZOA	FORAMINIFEREA	----------------------------	ALLOGROMIINA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Organic test is flexible and sometimes has attached foreign matter. India, Myxotheca, Nemogullmia. 
025	TEXTURALIINA	PROTOZOA	FORAMINIFEREA	----------------------------	TEXTURALIINA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Organic test made rigid by adding foreign particles. Allogromia, Ammodiscus, Astrorhiza, Clavulina, Textularia. 
026	MILIOLINA	PROTOZOA	FORAMINIFEREA	----------------------------	MILIOLINA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Calcareous test resembles porcelain. Amphisorus (mermaid’s penny), Pyrgo (ooze former), Quinqueloculina, Sorites. 
027	ROTALIINA	PROTOZOA	FORAMINIFEREA	----------------------------	ROTALIINA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Calcareous test is glassy (hyaline) and has pores. Bulimina, Discorhis, Globigerinoides (planktonic), Homotrema, Lagena, Marginulina, Rotaliella.
028	POLYCYSTINEA	PROTOZOA	ACTINOPODA	----------------------------	RADIOLARIA	----------------------------	POLYCYSTINEA	----------------------------	----------------------------	ORDER	Taxon contains the majority of familiar radiolarians. All have perforated siliceous skeletons and are solitary and colonial species, 30pm to 2mm in size. Collozoum, Eucoronis, Thallasicola.
029	PHAEODAREA	PROTOZOA	ACTINOPODA	----------------------------	RADIOLARIA	----------------------------	PHAEODAREA	----------------------------	----------------------------	ORDER	Taxon of deep-sea radiolarians having a siliceous test with hollow spines and incorporated organic matter. Central capsule has three openings, one oral and two for axopods. Yellow-brown pigment mass (phaeodium) near the oral opening. Astracantha, Coelodendrum, Phaeodina. 
030	ACANTHAREA	PROTOZOA	ACTINOPODA	----------------------------	ACANTHAREA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Acanthareans are planktonic marine actinopods that superficially resemble radiolarians. The cell is a radially symmetric sphere from which project slender axopodia and 10 to 20 stout skeletal spines. The intracellular spines unite in the center of the medulla, radiate outward, and project beyond the periphery of the cell. Myonemes attach to the spine bases and, on contraction, expand the cortex to the tips of the spines. Acantharean spines are composed of strontium sulfate and not the silica of radiolarians. Strontium sulfate is soluble in seawater and, after cell death, the skeleton soon dissolves and leaves no trace either as a bottom ooze or in the fossil record. The cell is divided by a perforated organic test into a medulla and vacuolated cortex. The cortex is overlaid with a flexible extracellular cuticle. The medulla contains several nuclei and, often, zooxanthellae.
031	ACTINOPHRYIDA	PROTOZOA	ACTINOPODA	----------------------------	HELIOZOA	----------------------------	ACTINOPHRYIDA	----------------------------	----------------------------	ORDER	
032	DESMOTHORACIDA	PROTOZOA	ACTINOPODA	----------------------------	HELIOZOA	----------------------------	DESMOTHORACIDA	----------------------------	----------------------------	ORDER	Sessile, mostly stalked species; irregularly arranged axopod MTs; filopodia are present. Clathrulina, Hedriocystis, Orbulinellci. 
033	CILIOPHYIDA	PROTOZOA	ACTINOPODA	----------------------------	HELIOZOA	----------------------------	CILIOPHYIDA	----------------------------	----------------------------	ORDER	Similar in form to actinophiyids, but adult bears a single flagellum with pinnate mastigonemes; axopods with few MTs. Actinomonas, Ciliophrys, Pteridomonas
034	TAXOPODIDA	PROTOZOA	ACTINOPODA	----------------------------	HELIOZOA	----------------------------	TAXOPODIDA	----------------------------	----------------------------	ORDER	Bilaterally symmetric with stout siliceous spines in rosettes; axopodal MTs in a hexagonal pattern; marine. Sticholonche. 
035	CENTROHELIDA	PROTOZOA	ACTINOPODA	----------------------------	HELIOZOA	----------------------------	CENTROHELIDA	----------------------------	----------------------------	ORDER	Numerous slender and long axopods arise from a central point (centroplast); axopods bear extru- somes used in prey capture; often have surface covering of extracellular siliceous scales or spinelets; axopod MTs in hexagonal or triangular arrays. Acanthocystis, Gymnosphaera, Hedraiophrys, Heterophrys. 
036	SYMPLASMA	METAZOA	PORIFERA	SYMPLASMA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	SUBPHYLUM	Glass sponges; have syncytial tissues; spicules are siliceous triaxonal hexactines that form intracellularly (sclerocytes are cellular, not syncytial). Many species have elongate bundle (“root”) of monaxons that anchor the sponge in mud bottoms; trichimella larva resembles modified parenchymella. Marine; approximately 400 extant species. EuplecteUa, Dactylocalyx, Hyalonema, Monoraphis, Rhabdocalyptus. 
037	HOMOSCLEROMORPHA	METAZOA	PORIFERA	CELLULARIA	DEMOSPONGIAE	HOMOSCLEROMORPHA	----------------------------	----------------------------	----------------------------	SUBCLADE	Demospongiae lacking distinction between mega- and microscleres. Spicule types not localized in body; siliceous spicules are di-, tri-, and tetractines; spongin mostly absent. Larviparous with coeloblastula larva. Octavella and Oscarella have only mesohylar skeleton, lack spongin and spicules. Plakina (syconoid). 
038	TETRACTIONOMORPHA	METAZOA	PORIFERA	CELLULARIA	DEMOSPONGIAE	TETRACTIONOMORPHA	----------------------------	----------------------------	----------------------------	SUBCLADE	Demospongiae with tetraxons, aster- ose microscleres, and mostly without spongin. Oviparous. Acanthochaetes, Ceratoporella, Merlia, all “scelerosponges” with a basal calcareous exoskeleton as well as siliceous spicules; Chondrilla nucula (chicken-liver sponge of West Indies); Cliona spp. (boring sponges); Geodia; Suberites ficus (fig sponge); Tethya actinia (tangerina sponge); Tetilla. 
039	CERACTINOMORPHA	METAZOA	PORIFERA	CELLULARIA	DEMOSPONGIAE	CERACTINOMORPHA	----------------------------	----------------------------	----------------------------	SUBCLADE	Demospongiae with distinct mega- and mi- croscleres, if microscleres are present; spongin is often  species. CalcineasC: Calcarea with a choanocytic flagellum not in close association with the nucleus; nucleus in base of cell; triaxons have equiangular rays of equal length. Coeloblastula larva. Clathrina (asconoid) forms tubular network; Murray well developed and several taxa (“keratosa”) have spongin only; spicule types localized to specific tissues or regions.
040	CALCINEA	METAZOA	PORIFERA	CELLULARIA	CALCAREA	CALCINEA	----------------------------	----------------------------	----------------------------	SUBCLADE	Calcarea with a choanocytic flagellum not in close association with the nucleus; nucleus in base of cell; triaxons have equiangular rays of equal length. Coeloblastula larva. Clathrina (asconoid) forms tubular network; Murrayona has a reticulate rigid skeleton of fused calcareous bodies (sclerodermites).
041	CALCARONEA	METAZOA	PORIFERA	CELLULARIA	CALCAREA	CALCARONEA	----------------------------	----------------------------	----------------------------	SUBCLADE	Calcarea with a choanocyte flagellum close to the nucleus; nucleus is apical in cell; triaxons are inequiangular, one ray longer than other two. Amphiblastula larva. Grantia; Leucandra (leuconoid); Leucosolenia (asconoid), single tubes or tube cluster from a stolon, among algae; Minchinella, rigid skeleton of fused spicules and cement; Petrobiona, skeleton is a solid calcareous mass; Sycon or Scypha (syconoid), cylindrical to nearly spherical body, com- mon under rocks. 
042	PLACOZOA	METAZOA	PLACOZOA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	PHYLUM	
043	ACTINARIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	ACTINARIA	----------------------------	----------------------------	ORDER	Sea anemones are generally large, solitary polyps. Most range from 1.5 to 10 cm in length and from 1 to 5 cm in diameter, but Tealia columbiana on the North  Pacific coast of the United States and Stichodactyla mertensii and Heteractis magnified on the Great Barrier Reef of Australia may exceed a diameter of 1 m at the oral end. The height record of 1 m is held by Metridium farcimen of the Pacific Northwest coast of the United States. Sea anemones are often brightly colored white, green, blue, orange, red, or an entire palette of colors.
044	SCLERACTINA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	SCELERACTINA	----------------------------	----------------------------	ORDER	Closely related to sea anemones (Actiniaria) are the stony, or scleractinian, corals (also called madreporarian corals), which constitute the largest taxon of anthozoans with approximately 3600 species. In contrast to anemones, stony corals produce a calcium carbonate exoskeleton. Some corals, such as the Indo-Pacific reef-inhabiting Fungia and some deep-sea species, are solitary and have polyps as large as 50 cm in diameter, but the majority are colonial, with small polyps averaging 1 to 3 mm in diameter. 
045	ZOANTHIDEA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	ZOANTHIDEA	----------------------------	----------------------------	ORDER	200 largely tropical and common reef- inhabiting species; do not secrete calcium carbonate, rely instead on periderm, hydrostat, mesoglea, sometimes embedded foreign matter for skeletal support, protection.
046	CORALLIMORPHARIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	CORALLIMORPHARIA	----------------------------	----------------------------	ORDER	Coral anemones; 50 species, all solitary;  lack calcareous exoskeleton; most are broad, squat polyps, often larger than dinner plates (up to 1m diameter); on coral reefs; expanded oral disc, with many short tentacles or no tentacles; tentacles usually house zooxanthellae, but polyps also feed on large prey such as fish, sea urchins; prey enveloped by muscular oral disc, similar to prey capture by Venus’s flytrap. 
047	ANTIPATHARIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	ANTIPATHARIA	----------------------------	----------------------------	ORDER	Feed by casting plankton-trapping mucous strings, reeled in by cilia. Collected commercially for black skeleton, pieces polished and worn as jewelry. Antipathes, Dendrobrachia, Schizopathes. 
048	CERIANTHARIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ZOANTHARIA	CERIANTHARIA	----------------------------	----------------------------	ORDER	All septa complete, unpaired, lack retractor muscles, thus cerianthids cannot invaginate oral disc and tentacles into the column for protection; single siphonoglyph and corresponding hyposulculus. Cerianthus, Ceriantheopsis, Pachycerianthus. 
049	STOLONIFERA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	STOLONIFERA	----------------------------	----------------------------	ORDER	Stolonate or, despite the taxon name, coenosarcal. Cornularia cornucopae: stolonate; mesoglea thin, lacks spicules; stolon and polyp bases enclosed in periderm.
050	HELIOPORACEA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	HELIOPORACEA	----------------------------	----------------------------	ORDER	Heliopora coerulea: blue coral (Indo-Pacific), the sole reef-building alcyonarian; zooxanthellate.
051	TELESTACEA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	TELESTACEA	----------------------------	----------------------------	ORDER	Mostly species of Telesto: small upright branching colonies of polyps that arise’ from a coenosarc; main stem and branches are elongate axial polyps with short, laterally budded zooids.
052	SCLERAXONIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	ALCYONACEA	SCLERAXONIA	----------------------------	SUBORDER	Includes precious red coral, Coralliumrubrum (Mediterranean Sea, Sea of Japan), and other fruticose species with lateral anthocodia on coenosarcal stems and branches, each supported by a skeletal axis; axis not enclosed in or secreted by its own specialized epithelium.
053	HOLAXONIA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	ALCYONACEA	HOLAXONIA	----------------------------	SUBORDER	Large, plantlike, often colorful sea plumes, sea fans, sea whips that sway gracefully in currents on coral reefs and elsewhere. 
054	PENNATULACEA	EUMETAZOA	CNIDARIA	----------------------------	ANTHOZOA	ALCYONARIA	PENNATULACEA	----------------------------	----------------------------	ORDER	Sea feathers, sea pens, and sea pansies; polymorphic colonies, often bilaterally symmetric, anchor in soft bottoms of sand or mud.
055	SEMAEOSTOMEAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	SCYPHOZOA	----------------------------	SEMAEOSTOMEAE	----------------------------	----------------------------	ORDER	The flag-mouth jellies are large medusae 10-30 cm in diameter (but can be up to 2m wide),in which the manubrium is elongate and divided into four oral arms.
056	RHIZOSTOMEAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	SCYPHOZOA	----------------------------	RHIZOSTOMEAE	----------------------------	----------------------------	ORDER	80 species, the most diverse scyphozoan taxon, includes Cassiopeia xamachana (upside-downjelly), Stomolophus meleagns (cannonball jelly, cabbage-head, jellyball), Rhizostoma octopus (cauliflower jelly).
057	CUBOMEDUSAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	SCYPHOZOA	----------------------------	CUBOMEDUSAE	----------------------------	----------------------------	ORDER	Box jellies: distinctive cubic bell, colorless transparent body, and highly venomous nematocysts; admired for their beauty and feared for their stings.
058	CORONATAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	SCYPHOZOA	----------------------------	CORONATAE	----------------------------	----------------------------	ORDER	35 species; mostly deepwater, few in shallow tropical seas; Linuche unguiculata (thimblejelly): common, in shallow water, zooxanthellate; Periphylla periphylla.
059	STAUROMEDUSAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	SCYPHOZOA	----------------------------	STAUROMEDUSAE	----------------------------	----------------------------	ORDER	25 species; sessile, attached, resemble sundew plants; often called “stalked jellies” because medusoid body attaches to sub-stratum by an aboral stalk; anatomy and development indicate adult is an overgrown polyp whose oral end is partially differentiated into a medusa.
060	CAPITATA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	ANTHOATHECATAE	CAPITATA	----------------------------	SUBORDER	Polyp tentacles capitate, or terminate in knoblike swellings, with high nematocyte concentration.
061	FILIFERA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	ANTHOATHECATAE	FILIFERA	----------------------------	SUBORDER	Filiform tentacles lacking terminal knobs: Bougainvillea, Clava, Eudendrium, Turritopsis. Snail fur, Hydractinia spp. 
062	CYSTONECTIDA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	SIPHONOPHORA	CYSTONECTIDA	----------------------------	SUBORDER	Medusa zooids absent, except for gonophores and perhaps “jelly polyps” of Physalia, which may be modified nectophores.
063	PHYSONECTIDA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	SIPHONOPHORA	PHYSONECTIDA	----------------------------	SUBORDER	Physonects, such as Nanomia bijuga and Physophora hydrostatica, often have long stems (up to 3 m in Apolemiauvaria), a pneumatophore, and nectophores.
064	CALYCOPHORIDA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	SIPHONOPHORA	CALYCOPHORIDA	----------------------------	SUBORDER	Calycophores, such as Muggiaea ,and Diphyes, lack a pneumatophore and the leading end of the colony bears one (in Muggiaea), two (in Diphyes), or more rocket-shaped nectophores.
065	LEPTOTHEATAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	LEPTOTHEATAE	----------------------------	----------------------------	ORDER	L-form hydroids; represented by Obelia, Orthopyxis, both with smooth-rimmed, wineglass-shaped theca.
066	LIMNOMEDUSAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	LIMNOMEDUSAE	----------------------------	----------------------------	ORDER	Life cycle with both polyp and medusa; shallow, cup-shaped medusa is dominant stage; inconspicuous polyp athecate, usually solitary, lacks periderm and sometimes tentacles.
067	TRACYMEDUSAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	TRACHYLINA	TRACYMEDUSAE	----------------------------	SUBORDER	Medusae tall or hemispherical with well-developed velum, usually many solid marginal tentacles, club-shaped statocysts, gonads on radial canals.
068	NARCOMEDUSAE	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	TRACHYLINA	NARCOMEDUSAE	----------------------------	SUBORDER	Medusae relatively flat with thin, lobed margin; central part of the bell thick and lenslike, whorl of thick, solid tentacles usually on exumbrellar surface; tentacles held stiffly, often above bell rim. 
069	ACTINULIDA	EUMETAZOA	CNIDARIA	MEDUSOZOA	HYDROZOA	----------------------------	TRACHYLINA	ACTINULIDA	----------------------------	SUBORDER	Adults tiny medusoid animals adapted for life in seawater-filled, interstitial spaces between sand grains.
070	CYDIPPIDA	EUMETAZOA	CTENOPHORA	----------------------------	----------------------------	----------------------------	CYDIPPIDA	----------------------------	----------------------------	ORDER	Planktonic spherical or oval ctenophores; few species compressed; well-developed tentacles and tentacle sheaths; interplate ciliary grooves absent.
